Date,Hour,MCP (Rs/MWh)
03-09-2023,10,10000
03-09-2023,11,10000
03-09-2023,11,10000
03-09-2023,11,10000
03-09-2023,11,10000
03-09-2023,12,10000
03-09-2023,12,10000
03-09-2023,12,10000
03-09-2023,12,10000
03-09-2023,13,10000
03-09-2023,13,10000
03-09-2023,13,10000
03-09-2023,13,10000
03-09-2023,14,10000
03-09-2023,14,10000
03-09-2023,14,10000
03-09-2023,14,10000
03-09-2023,15,10000
03-09-2023,15,10000
03-09-2023,15,10000
03-09-2023,15,10000
03-09-2023,16,10000
03-09-2023,16,10000
03-09-2023,16,10000
03-09-2023,16,10000
03-09-2023,17,10000
03-09-2023,17,10000
03-09-2023,17,10000
03-09-2023,17,10000
03-09-2023,18,10000
03-09-2023,18,10000
03-09-2023,18,10000
03-09-2023,18,10000
03-09-2023,19,10000
03-09-2023,19,10000
03-09-2023,19,10000
03-09-2023,19,10000
03-09-2023,20,10000
03-09-2023,20,10000
03-09-2023,20,10000
03-09-2023,20,10000
03-09-2023,21,10000
03-09-2023,21,10000
03-09-2023,21,10000
03-09-2023,21,10000
03-09-2023,22,10000
03-09-2023,22,10000
03-09-2023,22,10000
03-09-2023,22,10000
03-09-2023,23,10000
03-09-2023,23,10000
03-09-2023,23,10000
03-09-2023,23,10000
03-09-2023,24,10000
03-09-2023,24,10000
03-09-2023,24,10000
03-09-2023,24,10000
04-09-2023,1,10000
04-09-2023,1,10000
04-09-2023,1,10000
04-09-2023,1,10000
04-09-2023,2,10000
04-09-2023,2,10000
04-09-2023,2,10000
04-09-2023,2,10000
04-09-2023,3,10000
04-09-2023,3,10000
04-09-2023,3,10000
04-09-2023,3,10000
04-09-2023,4,10000
04-09-2023,4,10000
04-09-2023,4,10000
04-09-2023,4,10000
04-09-2023,5,10000
04-09-2023,5,10000
04-09-2023,5,10000
04-09-2023,5,10000
04-09-2023,6,10000
04-09-2023,6,10000
04-09-2023,6,10000
04-09-2023,6,10000
04-09-2023,7,10000
04-09-2023,7,10000
04-09-2023,7,10000
04-09-2023,7,10000
04-09-2023,8,10000
04-09-2023,8,10000
04-09-2023,8,10000
04-09-2023,8,10000
04-09-2023,9,10000
04-09-2023,9,10000
04-09-2023,9,10000
04-09-2023,9,10000
04-09-2023,10,10000
04-09-2023,10,10000
04-09-2023,10,10000
04-09-2023,10,10000
04-09-2023,11,10000
04-09-2023,11,10000
04-09-2023,11,10000
04-09-2023,11,10000
04-09-2023,12,10000
04-09-2023,12,10000
04-09-2023,12,10000
04-09-2023,12,10000
04-09-2023,13,10000
04-09-2023,13,10000
04-09-2023,13,10000
04-09-2023,13,10000
04-09-2023,14,10000
04-09-2023,14,10000
04-09-2023,14,10000
04-09-2023,14,10000
04-09-2023,15,10000
04-09-2023,15,10000
04-09-2023,15,10000
04-09-2023,15,10000
04-09-2023,16,10000
04-09-2023,16,10000
04-09-2023,16,10000
04-09-2023,16,10000
04-09-2023,17,10000
04-09-2023,17,10000
04-09-2023,17,10000
04-09-2023,17,10000
04-09-2023,18,10000
04-09-2023,18,10000
04-09-2023,18,10000
04-09-2023,18,10000
04-09-2023,19,10000
04-09-2023,19,10000
04-09-2023,19,10000
04-09-2023,19,10000
04-09-2023,20,10000
04-09-2023,20,10000
04-09-2023,20,10000
04-09-2023,20,10000
04-09-2023,21,10000
04-09-2023,21,10000
04-09-2023,21,10000
04-09-2023,21,10000
04-09-2023,22,10000
04-09-2023,22,10000
04-09-2023,22,10000
04-09-2023,22,10000
04-09-2023,23,10000
04-09-2023,23,10000
04-09-2023,23,10000
04-09-2023,23,10000
04-09-2023,24,10000
04-09-2023,24,10000
04-09-2023,24,10000
04-09-2023,24,10000
05-09-2023,1,10000
05-09-2023,1,10000
05-09-2023,1,10000
05-09-2023,1,10000
05-09-2023,2,10000
05-09-2023,2,10000
05-09-2023,2,10000
05-09-2023,2,10000
05-09-2023,3,10000
05-09-2023,3,10000
05-09-2023,3,10000
05-09-2023,3,10000
05-09-2023,4,10000
05-09-2023,4,10000
05-09-2023,4,10000
05-09-2023,4,10000
05-09-2023,5,10000
05-09-2023,5,10000
05-09-2023,5,10000
05-09-2023,5,10000
05-09-2023,6,10000
05-09-2023,6,10000
05-09-2023,6,10000
05-09-2023,6,10000
05-09-2023,7,10000
05-09-2023,7,10000
05-09-2023,7,10000
05-09-2023,7,10000
05-09-2023,8,10000
05-09-2023,8,10000
05-09-2023,8,10000
05-09-2023,8,9893.52
05-09-2023,9,7220.25
05-09-2023,9,7220.98
05-09-2023,9,7220.76
05-09-2023,9,7220.59
05-09-2023,10,7700.36
05-09-2023,10,8471.63
05-09-2023,10,7700.11
05-09-2023,10,7365.77
05-09-2023,11,6625
05-09-2023,11,6209.71
05-09-2023,11,6057.59
05-09-2023,11,5700.78
05-09-2023,12,6060.33
05-09-2023,12,6057.04
05-09-2023,12,6042.41
05-09-2023,12,6057.22
05-09-2023,13,5700.1
05-09-2023,13,6057.35
05-09-2023,13,5341.43
05-09-2023,13,5700.44
05-09-2023,14,5000.5
05-09-2023,14,5770.57
05-09-2023,14,6057.78
05-09-2023,14,6285.72
05-09-2023,15,6500.53
05-09-2023,15,6598.14
05-09-2023,15,6763.14
05-09-2023,15,7500.26
05-09-2023,16,7999.69
05-09-2023,16,10000
05-09-2023,16,10000
05-09-2023,16,10000
05-09-2023,17,9605.1
05-09-2023,17,10000
05-09-2023,17,10000
05-09-2023,17,10000
05-09-2023,18,10000
05-09-2023,18,10000
05-09-2023,18,10000
05-09-2023,18,10000
05-09-2023,19,10000
05-09-2023,19,10000
05-09-2023,19,10000
05-09-2023,19,10000
05-09-2023,20,10000
05-09-2023,20,10000
05-09-2023,20,10000
05-09-2023,20,10000
05-09-2023,21,10000
05-09-2023,21,10000
05-09-2023,21,10000
05-09-2023,21,10000
05-09-2023,22,10000
05-09-2023,22,10000
05-09-2023,22,10000
05-09-2023,22,10000
05-09-2023,23,10000
05-09-2023,23,10000
05-09-2023,23,10000
05-09-2023,23,10000
05-09-2023,24,10000
05-09-2023,24,10000
05-09-2023,24,10000
05-09-2023,24,10000
06-09-2023,1,10000
06-09-2023,1,10000
06-09-2023,1,10000
06-09-2023,1,10000
06-09-2023,2,10000
06-09-2023,2,10000
06-09-2023,2,10000
06-09-2023,2,10000
06-09-2023,3,10000
06-09-2023,3,10000
06-09-2023,3,10000
06-09-2023,3,9643.41
06-09-2023,4,10000
06-09-2023,4,9202.75
06-09-2023,4,8499.7
06-09-2023,4,7837.7
06-09-2023,5,6887.62
06-09-2023,5,6551.32
06-09-2023,5,8499.82
06-09-2023,5,8906.01
06-09-2023,6,10000
06-09-2023,6,10000
06-09-2023,6,10000
06-09-2023,6,10000
06-09-2023,7,10000
06-09-2023,7,10000
06-09-2023,7,10000
06-09-2023,7,10000
06-09-2023,8,10000
06-09-2023,8,10000
06-09-2023,8,10000
06-09-2023,8,7500.36
06-09-2023,9,5689.44
06-09-2023,9,5539.46
06-09-2023,9,5500.15
06-09-2023,9,5000.68
06-09-2023,10,4919.95
06-09-2023,10,4870.44
06-09-2023,10,4950.75
06-09-2023,10,4801.84
06-09-2023,11,4449.17
06-09-2023,11,4453.87
